codigo,nombre,municipio,tipo,especialidad,familia_fp
28020715,PIO BAROJA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020727,PARQUE ALUCHE,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020739,EIJO Y GARAY,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020806,NUESTRA SEÑORA DE LA ALMUDENA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020831,TETUAN DE LAS VICTORIAS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020855,CARDENAL HERRERA ORIA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020892,BEATRIZ GALINDO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020909,ISABEL LA CATOLICA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020910,JUAN DE LA CIERVA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020946,SAN ISIDRO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020958,EMPERATRIZ MARIA DE AUSTRIA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28020961,CALDERON DE LA BARCA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28021008,VISTA ALEGRE,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28021252,PACIFICO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28021549,PALOMERAS VALLECAS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28021550,GARCIA MORATO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28021562,GRAN CAPITÁN,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28022207,CARMEN MARTIN GAITE,Moralzarzal,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28022724,CIUDAD ESCOLAR,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28023194,FELIPE TRIGO,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28023212,JUAN GRIS,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28023327,CARMEN MARTIN GAITE,Navalcarnero,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28023911,GERARDO DIEGO,Pozuelo de Alarcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28024290,VEGA DEL JARAMA,San Fernando de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28024642,JOAN MIRO,San Sebastián de los Reyes,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28025014,ISAAC PERAL,Torrejón de Ardoz,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28025026,LAS VEREDILLAS,Torrejón de Ardoz,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28025129,ALTO JARAMA,Torrelaguna,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28025658,NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO,Villarejo de Salvanés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28025828,FELIPE II,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28026031,VICENTE ALEIXANDRE,Pinto,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28026092,LOS CASTILLOS,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028301,ARQUITECTO PEDRO GUMIEL,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028350,MARIA MOLINER,Coslada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
